analysis_config,gold_label,rows,accuracy
llm_only__base_llm1__mem_rag_bm25,Access,1731,0.9676487579433853
llm_only__base_llm1__mem_rag_bm25,Administrative rights,310,0.9483870967741935
llm_only__base_llm1__mem_rag_bm25,HR Support,2300,0.9721739130434782
llm_only__base_llm1__mem_rag_bm25,Hardware,2112,0.9573863636363636
llm_only__base_llm1__mem_rag_bm25,Internal Project,539,0.974025974025974
llm_only__base_llm1__mem_rag_bm25,Miscellaneous,1568,0.9649234693877551
llm_only__base_llm1__mem_rag_bm25,Purchase,706,0.9716713881019831
llm_only__base_llm1__mem_rag_bm25,Storage,734,0.9700272479564033
llm_only__base_llm2__mem_rag_bm25,Access,1731,0.9676487579433853
llm_only__base_llm2__mem_rag_bm25,Administrative rights,310,0.9483870967741935
llm_only__base_llm2__mem_rag_bm25,HR Support,2300,0.9721739130434782
llm_only__base_llm2__mem_rag_bm25,Hardware,2112,0.9573863636363636
llm_only__base_llm2__mem_rag_bm25,Internal Project,539,0.974025974025974
llm_only__base_llm2__mem_rag_bm25,Miscellaneous,1568,0.9649234693877551
llm_only__base_llm2__mem_rag_bm25,Purchase,706,0.9716713881019831
llm_only__base_llm2__mem_rag_bm25,Storage,734,0.9700272479564033
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Access,1731,0.9676487579433853
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Administrative rights,310,0.9483870967741935
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,HR Support,2300,0.9721739130434782
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Hardware,2112,0.9573863636363636
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Internal Project,539,0.974025974025974
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Miscellaneous,1568,0.9649234693877551
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Purchase,706,0.9716713881019831
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Storage,734,0.9700272479564033
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Access,1731,0.9676487579433853
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Administrative rights,310,0.9483870967741935
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,HR Support,2300,0.9721739130434782
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Hardware,2112,0.9573863636363636
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Internal Project,539,0.974025974025974
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Miscellaneous,1568,0.9649234693877551
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Purchase,706,0.9716713881019831
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Storage,734,0.9700272479564033
slm_only__base_slm1__mem_rag_bm25,Access,1731,0.9676487579433853
slm_only__base_slm1__mem_rag_bm25,Administrative rights,310,0.9483870967741935
slm_only__base_slm1__mem_rag_bm25,HR Support,2300,0.9721739130434782
slm_only__base_slm1__mem_rag_bm25,Hardware,2112,0.9573863636363636
slm_only__base_slm1__mem_rag_bm25,Internal Project,539,0.974025974025974
slm_only__base_slm1__mem_rag_bm25,Miscellaneous,1568,0.9649234693877551
slm_only__base_slm1__mem_rag_bm25,Purchase,706,0.9716713881019831
slm_only__base_slm1__mem_rag_bm25,Storage,734,0.9700272479564033
slm_only__base_slm2__mem_rag_bm25,Access,1731,0.9676487579433853
slm_only__base_slm2__mem_rag_bm25,Administrative rights,310,0.9483870967741935
slm_only__base_slm2__mem_rag_bm25,HR Support,2300,0.9721739130434782
slm_only__base_slm2__mem_rag_bm25,Hardware,2112,0.9573863636363636
slm_only__base_slm2__mem_rag_bm25,Internal Project,539,0.974025974025974
slm_only__base_slm2__mem_rag_bm25,Miscellaneous,1568,0.9649234693877551
slm_only__base_slm2__mem_rag_bm25,Purchase,706,0.9716713881019831
slm_only__base_slm2__mem_rag_bm25,Storage,734,0.9700272479564033
