analysis_config,gold_label,predicted_category,count
llm_only__base_llm1__mem_rag_bm25,Access,Access,1675
llm_only__base_llm1__mem_rag_bm25,Access,Administrative rights,1
llm_only__base_llm1__mem_rag_bm25,Access,HR Support,15
llm_only__base_llm1__mem_rag_bm25,Access,Hardware,15
llm_only__base_llm1__mem_rag_bm25,Access,Internal Project,3
llm_only__base_llm1__mem_rag_bm25,Access,Miscellaneous,18
llm_only__base_llm1__mem_rag_bm25,Access,Purchase,2
llm_only__base_llm1__mem_rag_bm25,Access,Storage,2
llm_only__base_llm1__mem_rag_bm25,Administrative rights,Access,1
llm_only__base_llm1__mem_rag_bm25,Administrative rights,Administrative rights,294
llm_only__base_llm1__mem_rag_bm25,Administrative rights,HR Support,3
llm_only__base_llm1__mem_rag_bm25,Administrative rights,Hardware,5
llm_only__base_llm1__mem_rag_bm25,Administrative rights,Miscellaneous,5
llm_only__base_llm1__mem_rag_bm25,Administrative rights,Purchase,2
llm_only__base_llm1__mem_rag_bm25,HR Support,Access,14
llm_only__base_llm1__mem_rag_bm25,HR Support,Administrative rights,1
llm_only__base_llm1__mem_rag_bm25,HR Support,HR Support,2236
llm_only__base_llm1__mem_rag_bm25,HR Support,Hardware,19
llm_only__base_llm1__mem_rag_bm25,HR Support,Internal Project,1
llm_only__base_llm1__mem_rag_bm25,HR Support,Miscellaneous,20
llm_only__base_llm1__mem_rag_bm25,HR Support,Purchase,3
llm_only__base_llm1__mem_rag_bm25,HR Support,Storage,6
llm_only__base_llm1__mem_rag_bm25,Hardware,Access,19
llm_only__base_llm1__mem_rag_bm25,Hardware,Administrative rights,7
llm_only__base_llm1__mem_rag_bm25,Hardware,HR Support,24
llm_only__base_llm1__mem_rag_bm25,Hardware,Hardware,2022
llm_only__base_llm1__mem_rag_bm25,Hardware,Internal Project,5
llm_only__base_llm1__mem_rag_bm25,Hardware,Miscellaneous,26
llm_only__base_llm1__mem_rag_bm25,Hardware,Purchase,5
llm_only__base_llm1__mem_rag_bm25,Hardware,Storage,4
llm_only__base_llm1__mem_rag_bm25,Internal Project,Access,2
llm_only__base_llm1__mem_rag_bm25,Internal Project,HR Support,3
llm_only__base_llm1__mem_rag_bm25,Internal Project,Hardware,5
llm_only__base_llm1__mem_rag_bm25,Internal Project,Internal Project,525
llm_only__base_llm1__mem_rag_bm25,Internal Project,Miscellaneous,4
llm_only__base_llm1__mem_rag_bm25,Miscellaneous,Access,11
llm_only__base_llm1__mem_rag_bm25,Miscellaneous,Administrative rights,1
llm_only__base_llm1__mem_rag_bm25,Miscellaneous,HR Support,15
llm_only__base_llm1__mem_rag_bm25,Miscellaneous,Hardware,21
llm_only__base_llm1__mem_rag_bm25,Miscellaneous,Internal Project,1
llm_only__base_llm1__mem_rag_bm25,Miscellaneous,Miscellaneous,1513
llm_only__base_llm1__mem_rag_bm25,Miscellaneous,Storage,6
llm_only__base_llm1__mem_rag_bm25,Purchase,Access,3
llm_only__base_llm1__mem_rag_bm25,Purchase,Administrative rights,2
llm_only__base_llm1__mem_rag_bm25,Purchase,HR Support,4
llm_only__base_llm1__mem_rag_bm25,Purchase,Hardware,7
llm_only__base_llm1__mem_rag_bm25,Purchase,Internal Project,2
llm_only__base_llm1__mem_rag_bm25,Purchase,Miscellaneous,2
llm_only__base_llm1__mem_rag_bm25,Purchase,Purchase,686
llm_only__base_llm1__mem_rag_bm25,Storage,Access,1
llm_only__base_llm1__mem_rag_bm25,Storage,Administrative rights,1
llm_only__base_llm1__mem_rag_bm25,Storage,HR Support,9
llm_only__base_llm1__mem_rag_bm25,Storage,Hardware,6
llm_only__base_llm1__mem_rag_bm25,Storage,Internal Project,1
llm_only__base_llm1__mem_rag_bm25,Storage,Miscellaneous,4
llm_only__base_llm1__mem_rag_bm25,Storage,Storage,712
llm_only__base_llm2__mem_rag_bm25,Access,Access,1675
llm_only__base_llm2__mem_rag_bm25,Access,Administrative rights,1
llm_only__base_llm2__mem_rag_bm25,Access,HR Support,15
llm_only__base_llm2__mem_rag_bm25,Access,Hardware,15
llm_only__base_llm2__mem_rag_bm25,Access,Internal Project,3
llm_only__base_llm2__mem_rag_bm25,Access,Miscellaneous,18
llm_only__base_llm2__mem_rag_bm25,Access,Purchase,2
llm_only__base_llm2__mem_rag_bm25,Access,Storage,2
llm_only__base_llm2__mem_rag_bm25,Administrative rights,Access,1
llm_only__base_llm2__mem_rag_bm25,Administrative rights,Administrative rights,294
llm_only__base_llm2__mem_rag_bm25,Administrative rights,HR Support,3
llm_only__base_llm2__mem_rag_bm25,Administrative rights,Hardware,5
llm_only__base_llm2__mem_rag_bm25,Administrative rights,Miscellaneous,5
llm_only__base_llm2__mem_rag_bm25,Administrative rights,Purchase,2
llm_only__base_llm2__mem_rag_bm25,HR Support,Access,14
llm_only__base_llm2__mem_rag_bm25,HR Support,Administrative rights,1
llm_only__base_llm2__mem_rag_bm25,HR Support,HR Support,2236
llm_only__base_llm2__mem_rag_bm25,HR Support,Hardware,19
llm_only__base_llm2__mem_rag_bm25,HR Support,Internal Project,1
llm_only__base_llm2__mem_rag_bm25,HR Support,Miscellaneous,20
llm_only__base_llm2__mem_rag_bm25,HR Support,Purchase,3
llm_only__base_llm2__mem_rag_bm25,HR Support,Storage,6
llm_only__base_llm2__mem_rag_bm25,Hardware,Access,19
llm_only__base_llm2__mem_rag_bm25,Hardware,Administrative rights,7
llm_only__base_llm2__mem_rag_bm25,Hardware,HR Support,24
llm_only__base_llm2__mem_rag_bm25,Hardware,Hardware,2022
llm_only__base_llm2__mem_rag_bm25,Hardware,Internal Project,5
llm_only__base_llm2__mem_rag_bm25,Hardware,Miscellaneous,26
llm_only__base_llm2__mem_rag_bm25,Hardware,Purchase,5
llm_only__base_llm2__mem_rag_bm25,Hardware,Storage,4
llm_only__base_llm2__mem_rag_bm25,Internal Project,Access,2
llm_only__base_llm2__mem_rag_bm25,Internal Project,HR Support,3
llm_only__base_llm2__mem_rag_bm25,Internal Project,Hardware,5
llm_only__base_llm2__mem_rag_bm25,Internal Project,Internal Project,525
llm_only__base_llm2__mem_rag_bm25,Internal Project,Miscellaneous,4
llm_only__base_llm2__mem_rag_bm25,Miscellaneous,Access,11
llm_only__base_llm2__mem_rag_bm25,Miscellaneous,Administrative rights,1
llm_only__base_llm2__mem_rag_bm25,Miscellaneous,HR Support,15
llm_only__base_llm2__mem_rag_bm25,Miscellaneous,Hardware,21
llm_only__base_llm2__mem_rag_bm25,Miscellaneous,Internal Project,1
llm_only__base_llm2__mem_rag_bm25,Miscellaneous,Miscellaneous,1513
llm_only__base_llm2__mem_rag_bm25,Miscellaneous,Storage,6
llm_only__base_llm2__mem_rag_bm25,Purchase,Access,3
llm_only__base_llm2__mem_rag_bm25,Purchase,Administrative rights,2
llm_only__base_llm2__mem_rag_bm25,Purchase,HR Support,4
llm_only__base_llm2__mem_rag_bm25,Purchase,Hardware,7
llm_only__base_llm2__mem_rag_bm25,Purchase,Internal Project,2
llm_only__base_llm2__mem_rag_bm25,Purchase,Miscellaneous,2
llm_only__base_llm2__mem_rag_bm25,Purchase,Purchase,686
