audit_id,anonymous_system_id,analysis_config,router_family,base_model,escalation_model,memory_mode,ticket_id,gold_label,parse_error_present,validation_error_present,generation_valid,escalated,total_cost_usd,latency_ms
AUDIT-0001,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,17,Purchase,False,False,True,False,0.0077339999999999996,8277.231425978243
AUDIT-0002,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,194,Storage,False,False,True,False,0.006276,6718.239794950932
AUDIT-0003,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,525,Hardware,False,False,True,False,0.007751999999999999,6110.401219921187
AUDIT-0004,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,538,Storage,False,False,True,False,0.006312,6549.722556956112
AUDIT-0005,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,731,Miscellaneous,False,False,True,False,0.006666,6156.937815016136
AUDIT-0006,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,789,Internal Project,False,False,True,False,0.006576,6422.502500936389
AUDIT-0007,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,820,Purchase,False,False,True,False,0.0064979999999999994,6649.805205874145
AUDIT-0008,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,2064,HR Support,False,False,True,False,0.006618,6475.114917149767
AUDIT-0009,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,2088,Internal Project,False,False,True,False,0.006828000000000001,6307.262177113444
AUDIT-0010,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,2144,Hardware,False,False,True,False,0.006534,6013.628217158839
AUDIT-0011,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,2250,Access,False,False,True,False,0.006624,4418.86119893752
AUDIT-0012,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,2288,Hardware,False,False,True,False,0.006791999999999999,3394.525917014107
AUDIT-0013,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,2530,Hardware,False,False,True,False,0.0066960000000000006,3680.415340932086
AUDIT-0014,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,2620,Internal Project,False,False,True,False,0.006696,5350.111304083839
AUDIT-0015,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,2703,Hardware,False,False,True,False,0.006762000000000001,4442.445890977979
AUDIT-0016,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,2740,Miscellaneous,False,False,True,False,0.007332,4261.861253064126
AUDIT-0017,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,2848,Purchase,False,False,True,False,0.006618,5041.300381999463
AUDIT-0018,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,3036,HR Support,False,False,True,False,0.00714,4126.543736085296
AUDIT-0019,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,3154,Miscellaneous,False,False,True,False,0.0061920000000000005,4240.206024842337
AUDIT-0020,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,3155,Access,False,False,True,False,0.006798,4695.93219505623
AUDIT-0021,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,3380,Storage,False,False,True,False,0.0060479999999999996,3799.695358145982
AUDIT-0022,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,3487,Purchase,False,False,True,False,0.00639,4637.248093029484
AUDIT-0023,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,3611,Hardware,False,False,True,False,0.007098,4642.816181993112
AUDIT-0024,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,3765,Administrative rights,False,False,True,False,0.007116000000000001,4943.059754092246
AUDIT-0025,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,3889,HR Support,False,False,True,False,0.006342,4982.976882951334
AUDIT-0026,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,4005,Purchase,False,False,True,False,0.006024,4247.049616184086
AUDIT-0027,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,4073,Miscellaneous,False,False,True,False,0.006996,3998.7339118961245
AUDIT-0028,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,4181,Access,False,False,True,False,0.006318,4554.243445862085
AUDIT-0029,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,4390,Administrative rights,False,False,True,False,0.006425999999999999,4191.711476072669
AUDIT-0030,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,4407,Purchase,False,False,True,False,0.00618,4362.528327153996
AUDIT-0031,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,4556,Internal Project,False,False,True,False,0.0072180000000000005,4216.930333059281
AUDIT-0032,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,4954,Miscellaneous,False,False,True,False,0.00702,4667.9086370859295
AUDIT-0033,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,4977,Internal Project,False,False,True,False,0.0064800000000000005,4193.250685930252
AUDIT-0034,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5030,HR Support,False,False,True,False,0.0066,4087.6724689733237
AUDIT-0035,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5071,Access,False,False,True,False,0.007572000000000001,4079.857210861519
AUDIT-0036,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5181,Miscellaneous,False,False,True,False,0.006564,4188.76043590717
AUDIT-0037,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5191,Internal Project,False,False,True,False,0.006762,4646.6375179588795
AUDIT-0038,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5207,HR Support,False,False,True,False,0.006246,3763.397998875007
AUDIT-0039,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5435,Internal Project,False,False,True,False,0.00639,4175.054003950208
AUDIT-0040,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5630,Storage,False,False,True,False,0.006036,3743.09997796081
AUDIT-0041,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5797,HR Support,False,False,True,False,0.008292,4640.046379063278
AUDIT-0042,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5887,HR Support,False,False,True,False,0.0067800000000000004,4407.5635799672455
AUDIT-0043,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5912,Purchase,False,False,True,False,0.006324000000000001,4668.543840991333
AUDIT-0044,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5996,Storage,False,False,True,False,0.006324000000000001,4863.819872960448
AUDIT-0045,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,6057,Administrative rights,False,False,True,False,0.006222,3623.318491037935
AUDIT-0046,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,6138,Administrative rights,False,False,True,False,0.006216000000000001,4332.137960009277
AUDIT-0047,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,6184,Administrative rights,False,False,True,False,0.006366,4429.929754929617
