audit_id,anonymous_system_id,analysis_config,router_family,base_model,escalation_model,memory_mode,ticket_id,gold_label,parse_error_present,validation_error_present,generation_valid,escalated,total_cost_usd,latency_ms
AUDIT-0001,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5435,Internal Project,False,False,True,False,0.00639,4175.054003950208
AUDIT-0002,System E,slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,slm_dominant,slm2,llm2,rag_bm25,2530,Hardware,False,False,True,False,0.0007161,1018.7873700633645
AUDIT-0003,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,5797,HR Support,False,False,True,False,0.0038520000000000004,2640.288391849026
AUDIT-0004,System F,slm_only__base_slm2__mem_rag_bm25,slm_only,slm2,,rag_bm25,3487,Purchase,False,False,True,False,0.0006545,2963.242497993633
AUDIT-0005,System F,slm_only__base_slm2__mem_rag_bm25,slm_only,slm2,,rag_bm25,6826,Administrative rights,False,False,True,False,0.000658,1420.5578879918903
AUDIT-0006,System E,slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,slm_dominant,slm2,llm2,rag_bm25,5071,Access,False,False,True,True,0.004419800000000001,3012.0292210485786
AUDIT-0007,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,6195,Storage,False,False,True,False,0.00642,4409.095289884135
AUDIT-0008,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,3155,Access,False,False,True,False,0.0030960000000000002,3990.9907181281596
AUDIT-0009,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,3487,Purchase,True,False,True,False,0.0006165,3714.843710884452
AUDIT-0010,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,3889,HR Support,False,False,True,False,0.000626,1814.625471131876
AUDIT-0011,System C,slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,slm_dominant,slm1,llm2,rag_bm25,8923,Purchase,False,False,True,False,0.0005995,1525.4613610450178
AUDIT-0012,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,2530,Hardware,False,False,True,False,0.003261,4916.895902017131
AUDIT-0013,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5030,HR Support,False,False,True,False,0.0066,4087.6724689733237
AUDIT-0014,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,4005,Purchase,False,False,True,False,0.00279,2242.243051994592
AUDIT-0015,System E,slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,slm_dominant,slm2,llm2,rag_bm25,7503,Hardware,False,False,True,False,0.0007049,1234.3599828891456
AUDIT-0016,System C,slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,slm_dominant,slm1,llm2,rag_bm25,7239,Hardware,False,False,True,False,0.000637,2025.7291018497199
AUDIT-0017,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,5207,HR Support,False,False,True,False,0.006246,3763.397998875007
AUDIT-0018,System E,slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,slm_dominant,slm2,llm2,rag_bm25,3380,Storage,False,False,True,False,0.0006706,1308.4831819869578
AUDIT-0019,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,3380,Storage,False,False,True,False,0.000587,3283.127199858427
AUDIT-0020,System F,slm_only__base_slm2__mem_rag_bm25,slm_only,slm2,,rag_bm25,6184,Administrative rights,False,False,True,False,0.0006363,929.8381230328232
AUDIT-0021,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,3889,HR Support,False,False,True,False,0.002865,1903.8196578621864
AUDIT-0022,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,8005,Hardware,False,False,True,False,0.0006985000000000001,1974.0103781223297
AUDIT-0023,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,789,Internal Project,False,False,True,False,0.0006295,3604.170792037621
AUDIT-0024,System C,slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,slm_dominant,slm1,llm2,rag_bm25,5887,HR Support,False,False,True,False,0.000727,2664.180252002552
AUDIT-0025,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,9596,Miscellaneous,False,False,True,False,0.0006335000000000001,1577.8752430342138
AUDIT-0026,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,7528,HR Support,False,False,True,False,0.0006230000000000001,1767.8711789194494
AUDIT-0027,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,4977,Internal Project,False,False,True,False,0.0030930000000000003,2502.8610911685973
AUDIT-0028,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,2740,Miscellaneous,True,False,True,False,0.0007179999999999999,3741.937789134681
AUDIT-0029,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,6459,Access,False,False,True,False,0.0028020000000000002,2036.9497269857675
AUDIT-0030,System E,slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,slm_dominant,slm2,llm2,rag_bm25,7278,Hardware,False,False,True,False,0.0006363,1356.5259668976068
AUDIT-0031,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,6138,Administrative rights,False,False,True,False,0.006216000000000001,4332.137960009277
AUDIT-0032,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,3765,Administrative rights,False,False,True,False,0.007116000000000001,4943.059754092246
AUDIT-0033,System C,slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,slm_dominant,slm1,llm2,rag_bm25,3611,Hardware,True,False,True,False,0.0006915000000000001,1837.6540399622172
AUDIT-0034,System C,slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,slm_dominant,slm1,llm2,rag_bm25,2740,Miscellaneous,False,False,True,True,0.0041919999999999995,4041.749371215701
AUDIT-0035,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,4556,Internal Project,False,False,True,False,0.0072180000000000005,4216.930333059281
AUDIT-0036,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,4390,Administrative rights,False,False,True,False,0.000604,1396.6016538906842
AUDIT-0037,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,2703,Hardware,False,False,True,False,0.006762000000000001,4442.445890977979
AUDIT-0038,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,2848,Purchase,False,False,True,False,0.0029490000000000002,4244.137366069481
AUDIT-0039,System E,slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,slm_dominant,slm2,llm2,rag_bm25,731,Miscellaneous,False,False,True,False,0.0006853,1042.2902090940624
AUDIT-0040,System F,slm_only__base_slm2__mem_rag_bm25,slm_only,slm2,,rag_bm25,2250,Access,False,False,True,False,0.0006881,2914.8160179611295
AUDIT-0041,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,4181,Access,False,False,True,False,0.0028290000000000004,2056.5666831098497
AUDIT-0042,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,538,Storage,False,False,True,False,0.0029100000000000003,4154.229162959382
AUDIT-0043,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,5071,Access,False,False,True,False,0.0007465,1864.841977832839
AUDIT-0044,System C,slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,slm_dominant,slm1,llm2,rag_bm25,5207,HR Support,True,False,True,False,0.0006274999999999999,1791.1889690440148
AUDIT-0045,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,6459,Access,False,False,True,False,0.006240000000000001,4609.661411028355
AUDIT-0046,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,5912,Purchase,False,False,True,False,0.002865,2208.90343002975
AUDIT-0047,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,4390,Administrative rights,False,False,True,False,0.003009,2185.029450105503
AUDIT-0048,System C,slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,slm_dominant,slm1,llm2,rag_bm25,6543,Access,False,False,True,False,0.0006145,2275.161091936752
AUDIT-0049,System C,slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,slm_dominant,slm1,llm2,rag_bm25,9149,Internal Project,False,False,True,False,0.0006315,1586.2283408641815
