analysis_config,gold_label,predicted_category,count
slm_only__base_slm2__mem_rag_bm25,Hardware,Miscellaneous,26
llm_only__base_llm1__mem_rag_bm25,Hardware,Miscellaneous,26
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Hardware,Miscellaneous,26
llm_only__base_llm2__mem_rag_bm25,Hardware,Miscellaneous,26
slm_only__base_slm1__mem_rag_bm25,Hardware,Miscellaneous,26
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Hardware,Miscellaneous,26
llm_only__base_llm1__mem_rag_bm25,Hardware,HR Support,24
slm_only__base_slm1__mem_rag_bm25,Hardware,HR Support,24
llm_only__base_llm2__mem_rag_bm25,Hardware,HR Support,24
slm_only__base_slm2__mem_rag_bm25,Hardware,HR Support,24
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Hardware,HR Support,24
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Hardware,HR Support,24
slm_only__base_slm2__mem_rag_bm25,Miscellaneous,Hardware,21
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Miscellaneous,Hardware,21
llm_only__base_llm2__mem_rag_bm25,Miscellaneous,Hardware,21
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Miscellaneous,Hardware,21
llm_only__base_llm1__mem_rag_bm25,Miscellaneous,Hardware,21
slm_only__base_slm1__mem_rag_bm25,Miscellaneous,Hardware,21
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,HR Support,Miscellaneous,20
llm_only__base_llm2__mem_rag_bm25,HR Support,Miscellaneous,20
slm_only__base_slm1__mem_rag_bm25,HR Support,Miscellaneous,20
llm_only__base_llm1__mem_rag_bm25,HR Support,Miscellaneous,20
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,HR Support,Miscellaneous,20
slm_only__base_slm2__mem_rag_bm25,HR Support,Miscellaneous,20
slm_only__base_slm2__mem_rag_bm25,Hardware,Access,19
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,HR Support,Hardware,19
slm_only__base_slm1__mem_rag_bm25,HR Support,Hardware,19
llm_only__base_llm2__mem_rag_bm25,Hardware,Access,19
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,HR Support,Hardware,19
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Hardware,Access,19
llm_only__base_llm1__mem_rag_bm25,Hardware,Access,19
slm_only__base_slm2__mem_rag_bm25,HR Support,Hardware,19
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Hardware,Access,19
llm_only__base_llm1__mem_rag_bm25,HR Support,Hardware,19
llm_only__base_llm2__mem_rag_bm25,HR Support,Hardware,19
slm_only__base_slm1__mem_rag_bm25,Hardware,Access,19
slm_only__base_slm1__mem_rag_bm25,Access,Miscellaneous,18
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Access,Miscellaneous,18
llm_only__base_llm1__mem_rag_bm25,Access,Miscellaneous,18
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Access,Miscellaneous,18
llm_only__base_llm2__mem_rag_bm25,Access,Miscellaneous,18
slm_only__base_slm2__mem_rag_bm25,Access,Miscellaneous,18
slm_only__base_slm2__mem_rag_bm25,Access,Hardware,15
llm_only__base_llm1__mem_rag_bm25,Miscellaneous,HR Support,15
slm_only__base_slm2__mem_rag_bm25,Access,HR Support,15
slm_only__base_slm1__mem_rag_bm25,Access,Hardware,15
llm_only__base_llm2__mem_rag_bm25,Miscellaneous,HR Support,15
llm_only__base_llm2__mem_rag_bm25,Access,Hardware,15
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Access,HR Support,15
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Access,Hardware,15
